unique_id,street,city,state,zip
LIHTC_CENSUS_0075,"2641 BIRNEY PL, SE",WASHIGTON,DC,20020
LIHTC_CENSUS_0076,"1000 4TH STREET, SW",WASHINGTON,DC,20024
LIHTC_CENSUS_0077,1001 FIRST ST NW,WASHINGTON,DC,20001
LIHTC_CENSUS_0078,"1001 SPRING ROAD, NW",WASHINGTON,DC,20010
LIHTC_CENSUS_0079,"500 ATLANTIC STREET, SE",WASHINGTON,DC,20032
LIHTC_CENSUS_0080,"502 ATLANTIC STREET, SE",WASHINGTON,DC,20032
LIHTC_CENSUS_0081,"22 BANNER LANE, NW",WASHINGTON,DC,20001
LIHTC_CENSUS_0082,"44 BANNER LANE, NW",WASHINGTON,DC,20001
LIHTC_CENSUS_0083,400 ELIZABETH CORNISH LANDING,BRIDGEVILLE,DE,19933
LIHTC_CENSUS_0084,1117 CEDARTREE COURT,CLAYMONT,DE,19703
LIHTC_CENSUS_0085,401 ELIZABETH CORNISH LNDG 401-406,BRIDGEVILLE,DE,19933
LIHTC_CENSUS_0086,407 ELIZABETH CORNISH LNDG 407-412,BRIDGEVILLE,DE,19933
LIHTC_CENSUS_0087,701 S MARKET ST,BLADES,DE,19973
LIHTC_CENSUS_0088,304 CANTERBURY LANE,BRIDGEVILLE,DE,19933
LIHTC_CENSUS_0089,3201- 3209 LANCASTER AVENUE & 3200-3208 W. 2ND STREET,WILMINGTON,DE,19805
LIHTC_CENSUS_0090,900 AQUA LANE,SEAFORD,DE,19973
LIHTC_CENSUS_0091,901 AQUA LANE,SEAFORD,DE,19973
LIHTC_CENSUS_0092,1130 MERRITT STREET,ALTAMONTE SPRINGS,FL,32701
LIHTC_CENSUS_0093,205 17TH STREET,APALACHICOLA,FL,32320
LIHTC_CENSUS_0094,452 CYPRESS ST.,ALTAMONTE SPRINGS,FL,32701
LIHTC_CENSUS_0095,541 MERRITT MORNING WAY,ALTAMONTE SPRINGS,FL,32701
LIHTC_CENSUS_0096,14000 NW 154TH AVE,ALACHUA,FL,32615
LIHTC_CENSUS_0097,1193 MERRITT ST,ALTAMONTE SPRINGS,FL,32701
LIHTC_CENSUS_0098,701 WALNUT ST,CRESCENT CITY,FL,32112
LIHTC_CENSUS_0099,14500 SE 280TH ST,HOMESTEAD,FL,33032
