reviewed_component_id,compound_address_question_id,development_site_id,development_id,reviewed_component_rank,reviewed_component_street,reviewed_component_city,reviewed_component_state,reviewed_component_zip,parser_class,proposed_component_key,collision_with_another_proposal,collision_with_existing_site,existing_site_id,component_decision,component_reason,reviewed_on,submission_approval
CAQ_00008_REVIEWED_01,CAQ_00008,DEV_AKA20079001_SITE_0017,DEV_AKA20079001,1,3230 EMMA CT,KETCHIKAN,AK,99901,complete_number_list_shared_street_tail,3230 EMMA CT|KETCHIKAN|AK|99901,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00008_REVIEWED_02,CAQ_00008,DEV_AKA20079001_SITE_0017,DEV_AKA20079001,2,3232 EMMA CT,KETCHIKAN,AK,99901,complete_number_list_shared_street_tail,3232 EMMA CT|KETCHIKAN|AK|99901,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00009_REVIEWED_01,CAQ_00009,DEV_AKA20079001_SITE_0019,DEV_AKA20079001,1,3233 EMMA CT,KETCHIKAN,AK,99901,complete_number_list_shared_street_tail,3233 EMMA CT|KETCHIKAN|AK|99901,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00009_REVIEWED_02,CAQ_00009,DEV_AKA20079001_SITE_0019,DEV_AKA20079001,2,3231 EMMA CT,KETCHIKAN,AK,99901,complete_number_list_shared_street_tail,3231 EMMA CT|KETCHIKAN|AK|99901,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00014_REVIEWED_01,CAQ_00014,DEV_ARA20010729_SITE_0002,DEV_ARA20010729,1,304 W 8TH ST,NORTH LITTLE ROCK,AR,72114,complete_number_list_shared_street_tail,304 W 8TH ST|NORTH LITTLE ROCK|AR|72114,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00014_REVIEWED_02,CAQ_00014,DEV_ARA20010729_SITE_0002,DEV_ARA20010729,2,306 W 8TH ST,NORTH LITTLE ROCK,AR,72114,complete_number_list_shared_street_tail,306 W 8TH ST|NORTH LITTLE ROCK|AR|72114,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00017_REVIEWED_01,CAQ_00017,DEV_ARA20070015_SITE_0001,DEV_ARA20070015,1,101 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,101 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00017_REVIEWED_02,CAQ_00017,DEV_ARA20070015_SITE_0001,DEV_ARA20070015,2,103 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,103 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00018_REVIEWED_01,CAQ_00018,DEV_ARA20070015_SITE_0002,DEV_ARA20070015,1,105 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,105 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00018_REVIEWED_02,CAQ_00018,DEV_ARA20070015_SITE_0002,DEV_ARA20070015,2,107 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,107 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00019_REVIEWED_01,CAQ_00019,DEV_ARA20070015_SITE_0004,DEV_ARA20070015,1,111 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,111 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00019_REVIEWED_02,CAQ_00019,DEV_ARA20070015_SITE_0004,DEV_ARA20070015,2,113 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,113 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00020_REVIEWED_01,CAQ_00020,DEV_ARA20070015_SITE_0005,DEV_ARA20070015,1,115 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,115 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00020_REVIEWED_02,CAQ_00020,DEV_ARA20070015_SITE_0005,DEV_ARA20070015,2,117 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,117 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00021_REVIEWED_01,CAQ_00021,DEV_ARA20070015_SITE_0006,DEV_ARA20070015,1,119 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,119 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00021_REVIEWED_02,CAQ_00021,DEV_ARA20070015_SITE_0006,DEV_ARA20070015,2,121 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,121 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00022_REVIEWED_01,CAQ_00022,DEV_ARA20070015_SITE_0007,DEV_ARA20070015,1,122 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,122 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00022_REVIEWED_02,CAQ_00022,DEV_ARA20070015_SITE_0007,DEV_ARA20070015,2,124 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,124 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00023_REVIEWED_01,CAQ_00023,DEV_ARA20070015_SITE_0008,DEV_ARA20070015,1,301 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,301 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00023_REVIEWED_02,CAQ_00023,DEV_ARA20070015_SITE_0008,DEV_ARA20070015,2,303 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,303 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00024_REVIEWED_01,CAQ_00024,DEV_ARA20070015_SITE_0009,DEV_ARA20070015,1,302 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,302 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00024_REVIEWED_02,CAQ_00024,DEV_ARA20070015_SITE_0009,DEV_ARA20070015,2,304 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,304 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00025_REVIEWED_01,CAQ_00025,DEV_ARA20070015_SITE_0010,DEV_ARA20070015,1,305 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,305 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00025_REVIEWED_02,CAQ_00025,DEV_ARA20070015_SITE_0010,DEV_ARA20070015,2,307 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,307 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00026_REVIEWED_01,CAQ_00026,DEV_ARA20070015_SITE_0011,DEV_ARA20070015,1,306 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,306 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00026_REVIEWED_02,CAQ_00026,DEV_ARA20070015_SITE_0011,DEV_ARA20070015,2,308 VISTA ST,GREEN FOREST,AR,72638,complete_number_list_shared_street_tail,308 VISTA ST|GREEN FOREST|AR|72638,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00084_REVIEWED_01,CAQ_00084,DEV_AZA20160004_SITE_0001,DEV_AZA20160004,1,1135 BONITA STREET,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1135 BONITA STREET|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00084_REVIEWED_02,CAQ_00084,DEV_AZA20160004_SITE_0001,DEV_AZA20160004,2,1139 BONITA STREET,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1139 BONITA STREET|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00085_REVIEWED_01,CAQ_00085,DEV_AZA20160004_SITE_0004,DEV_AZA20160004,1,1139 E. 3RD STREET,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1139 E. 3RD STREET|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00085_REVIEWED_02,CAQ_00085,DEV_AZA20160004_SITE_0004,DEV_AZA20160004,2,1143 E. 3RD STREET,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1143 E. 3RD STREET|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00086_REVIEWED_01,CAQ_00086,DEV_AZA20160004_SITE_0005,DEV_AZA20160004,1,1140 BONITA STREET,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1140 BONITA STREET|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00086_REVIEWED_02,CAQ_00086,DEV_AZA20160004_SITE_0005,DEV_AZA20160004,2,1142 BONITA STREET,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1142 BONITA STREET|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00087_REVIEWED_01,CAQ_00087,DEV_AZA20160004_SITE_0006,DEV_AZA20160004,1,1143 BONITA STREET,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1143 BONITA STREET|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00087_REVIEWED_02,CAQ_00087,DEV_AZA20160004_SITE_0006,DEV_AZA20160004,2,1147 BONITA STREET,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1147 BONITA STREET|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00088_REVIEWED_01,CAQ_00088,DEV_AZA20160004_SITE_0011,DEV_AZA20160004,1,1150 BONITA LANE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1150 BONITA LANE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00088_REVIEWED_02,CAQ_00088,DEV_AZA20160004_SITE_0011,DEV_AZA20160004,2,1152 BONITA LANE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1152 BONITA LANE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00089_REVIEWED_01,CAQ_00089,DEV_AZA20160004_SITE_0012,DEV_AZA20160004,1,1151 BONITA CIRCLE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1151 BONITA CIRCLE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00089_REVIEWED_02,CAQ_00089,DEV_AZA20160004_SITE_0012,DEV_AZA20160004,2,1155 BONITA CIRCLE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1155 BONITA CIRCLE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00090_REVIEWED_01,CAQ_00090,DEV_AZA20160004_SITE_0013,DEV_AZA20160004,1,1151 E. 3RD STREET,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1151 E. 3RD STREET|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00090_REVIEWED_02,CAQ_00090,DEV_AZA20160004_SITE_0013,DEV_AZA20160004,2,1155 E. 3RD STREET,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1155 E. 3RD STREET|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00091_REVIEWED_01,CAQ_00091,DEV_AZA20160004_SITE_0014,DEV_AZA20160004,1,1154 BONITA LANE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1154 BONITA LANE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00091_REVIEWED_02,CAQ_00091,DEV_AZA20160004_SITE_0014,DEV_AZA20160004,2,1156 BONITA LANE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1156 BONITA LANE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00092_REVIEWED_01,CAQ_00092,DEV_AZA20160004_SITE_0015,DEV_AZA20160004,1,1158 BONITA LANE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1158 BONITA LANE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00092_REVIEWED_02,CAQ_00092,DEV_AZA20160004_SITE_0015,DEV_AZA20160004,2,1160 BONITA LANE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1160 BONITA LANE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00093_REVIEWED_01,CAQ_00093,DEV_AZA20160004_SITE_0016,DEV_AZA20160004,1,1159 BONITA CIRCLE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1159 BONITA CIRCLE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00093_REVIEWED_02,CAQ_00093,DEV_AZA20160004_SITE_0016,DEV_AZA20160004,2,1161 BONITA CIRCLE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1161 BONITA CIRCLE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00094_REVIEWED_01,CAQ_00094,DEV_AZA20160004_SITE_0018,DEV_AZA20160004,1,1162 BONITA LANE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1162 BONITA LANE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00094_REVIEWED_02,CAQ_00094,DEV_AZA20160004_SITE_0018,DEV_AZA20160004,2,1164 BONITA LANE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1164 BONITA LANE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00095_REVIEWED_01,CAQ_00095,DEV_AZA20160004_SITE_0019,DEV_AZA20160004,1,1165 BONITA CIRCLE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1165 BONITA CIRCLE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00095_REVIEWED_02,CAQ_00095,DEV_AZA20160004_SITE_0019,DEV_AZA20160004,2,1169 BONITA CIRCLE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1169 BONITA CIRCLE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00096_REVIEWED_01,CAQ_00096,DEV_AZA20160004_SITE_0020,DEV_AZA20160004,1,1166 BONITA LANE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1166 BONITA LANE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00096_REVIEWED_02,CAQ_00096,DEV_AZA20160004_SITE_0020,DEV_AZA20160004,2,1168 BONITA LANE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1168 BONITA LANE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00097_REVIEWED_01,CAQ_00097,DEV_AZA20160004_SITE_0021,DEV_AZA20160004,1,1170 BONITA LANE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1170 BONITA LANE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00097_REVIEWED_02,CAQ_00097,DEV_AZA20160004_SITE_0021,DEV_AZA20160004,2,1172 BONITA LANE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1172 BONITA LANE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00098_REVIEWED_01,CAQ_00098,DEV_AZA20160004_SITE_0023,DEV_AZA20160004,1,1174 BONITA LANE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1174 BONITA LANE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00098_REVIEWED_02,CAQ_00098,DEV_AZA20160004_SITE_0023,DEV_AZA20160004,2,1176 BONITA LANE,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1176 BONITA LANE|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00099_REVIEWED_01,CAQ_00099,DEV_AZA20160004_SITE_0026,DEV_AZA20160004,1,1183 BONITA STREET,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1183 BONITA STREET|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00099_REVIEWED_02,CAQ_00099,DEV_AZA20160004_SITE_0026,DEV_AZA20160004,2,1187 BONITA STREET,DOUGLAS,AZ,,complete_number_list_shared_street_tail,1187 BONITA STREET|DOUGLAS|AZ|,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00103_REVIEWED_01,CAQ_00103,DEV_AZA20170004_SITE_0001,DEV_AZA20170004,1,1240 SOUTH 20TH AVENUE, PHOENIX,AZ,85009,complete_number_list_shared_street_tail,1240 SOUTH 20TH AVENUE|PHOENIX|AZ|85009,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00103_REVIEWED_02,CAQ_00103,DEV_AZA20170004_SITE_0001,DEV_AZA20170004,2,1242 SOUTH 20TH AVENUE, PHOENIX,AZ,85009,complete_number_list_shared_street_tail,1242 SOUTH 20TH AVENUE|PHOENIX|AZ|85009,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00104_REVIEWED_01,CAQ_00104,DEV_AZA20170004_SITE_0002,DEV_AZA20170004,1,1244 SOUTH 20TH AVENUE, PHOENIX,AZ,85009,complete_number_list_shared_street_tail,1244 SOUTH 20TH AVENUE|PHOENIX|AZ|85009,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00104_REVIEWED_02,CAQ_00104,DEV_AZA20170004_SITE_0002,DEV_AZA20170004,2,1246 SOUTH 20TH AVENUE, PHOENIX,AZ,85009,complete_number_list_shared_street_tail,1246 SOUTH 20TH AVENUE|PHOENIX|AZ|85009,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00105_REVIEWED_01,CAQ_00105,DEV_AZA20170004_SITE_0003,DEV_AZA20170004,1,1302 SOUTH 20TH AVENUE, PHOENIX,AZ,85009,complete_number_list_shared_street_tail,1302 SOUTH 20TH AVENUE|PHOENIX|AZ|85009,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00105_REVIEWED_02,CAQ_00105,DEV_AZA20170004_SITE_0003,DEV_AZA20170004,2,1304 SOUTH 20TH AVENUE, PHOENIX,AZ,85009,complete_number_list_shared_street_tail,1304 SOUTH 20TH AVENUE|PHOENIX|AZ|85009,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00106_REVIEWED_01,CAQ_00106,DEV_AZA20170004_SITE_0004,DEV_AZA20170004,1,1306 SOUTH 20TH AVENUE, PHOENIX,AZ,85009,complete_number_list_shared_street_tail,1306 SOUTH 20TH AVENUE|PHOENIX|AZ|85009,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00106_REVIEWED_02,CAQ_00106,DEV_AZA20170004_SITE_0004,DEV_AZA20170004,2,1308 SOUTH 20TH AVENUE, PHOENIX,AZ,85009,complete_number_list_shared_street_tail,1308 SOUTH 20TH AVENUE|PHOENIX|AZ|85009,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
CAQ_00107_REVIEWED_01,CAQ_00107,DEV_AZA20170004_SITE_0005,DEV_AZA20170004,1,1309 SOUTH 19TH DRIVE, PHOENIX,AZ,85009,complete_number_list_shared_street_tail,1309 SOUTH 19TH DRIVE|PHOENIX|AZ|85009,FALSE,FALSE,,retain_reviewed_address_component,two_independent_reads_confirm_exact_parser_component,2026-08-12,not_approved
