mixed_site_question_id,development_id,development_name,development_anchor_hud_id,first_pis_year,last_pis_year,episode_unit_count_max,n_units_development,complete_site_key_examples,review_cluster_id,adjudicated_development_id,adjudicated_development_anchor_hud_id,n_review_cluster_members,cluster_status,member_action,episode_to_property_bridge_status,shared_geocoding_query_decision,source_rows_changed
MSIR_0016,DEV_GAA20107022,RIVERVIEW HEIGHTS FKA OCONEE PARK,GAA20107022,2010,2010,117,117,GA|200 RIVERVIEW DR|DUBLIN | GA|200 RIVERVIEW PARK DR|DUBLIN | GA|202 RIVERVIEW DR|DUBLIN | GA|204 RIVERVIEW DR|DUBLIN | GA|206 RIVERVIEW DR|DUBLIN | GA|208 RIVERVIEW DR|DUBLIN | GA|210 RIVERVIEW DR|DUBLIN | GA|212 RIVERVIEW DR|DUBLIN | GA|214 RIVERVIEW DR|DUBLIN | GA|216 RIVERVIEW DR|DUBLIN | GA|218 RIVERVIEW DR|DUBLIN | GA|220 RIVERVIEW DR|DUBLIN | GA|222 RIVERVIEW DR|DUBLIN,MSIC_00019,DEV_GAA20100035,GAA20100035,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0017,DEV_GAA19920120,PINE TERRACE I,GAA19920120,1992,1992,48,,GA|8214 S MARCUS ST 25|WRIGHTSVILLE | GA|823 S MARCUS ST|WRIGHTSVILLE,MSIC_00020,DEV_GAA19920120,GAA19920120,1,final_physical_development,retain_current_development,not_required,not_approved,FALSE
MSIR_0017,DEV_GAA19950230,PINE TERRACE II,GAA19950230,1995,1995,24,24,GA|823 S MARCUS ST|WRIGHTSVILLE,MSIC_00021,DEV_GAA19950230,GAA19950230,1,final_physical_development,retain_current_development,not_required,not_approved,FALSE
MSIR_0018,DEV_ILB20049002,HILLIARD HOMES I,ILB20049002,2004,2004,654,654,IL|2031 S CLARK ST|CHICAGO | IL|2111 S CLARK ST|CHICAGO,MSIC_00022,DEV_ILB20049002,ILB20049002,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0018,DEV_ILB20060809,HILLIARD HOMES,ILB20060809,2006,2006,654,654,IL|2031 S CLARK ST|CHICAGO,MSIC_00022,DEV_ILB20049002,ILB20049002,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0019,DEV_ILA20010100,NORTH TOWN VILLAGE,ILA20010100,2001,2001,116,,IL|1311 N HALSTED ST|CHICAGO | IL|1321 N BURLING ST|CHICAGO | IL|1329 N BURLING ST|CHICAGO | IL|1415 N HALSTED ST|CHICAGO | IL|1427 N HALSTED ST|CHICAGO,MSIC_00023,DEV_ILA20010100,ILA20010100,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0019,DEV_ILB20010803,NORTH TOWN VILLAGE I,ILB20010803,2001,2001,116,116,IL|1321 N BURLING ST|CHICAGO,MSIC_00023,DEV_ILA20010100,ILA20010100,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0020,DEV_KYA19999002,ALBANY COMMONS II APARTMENTS -  PROJECT,KYA19999002,1999,1999,12,12,KY|NOLAN ST|ALBANY,MSIC_00024,DEV_KYA19999002,KYA19999002,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0020,DEV_KYA19999581,ALBANY COMMONS II APTS - PROJECT,KYA19999581,1999,1999,12,12,KY|34 37 NOLAN ST|ALBANY | KY|NOLAN ST|ALBANY,MSIC_00024,DEV_KYA19999002,KYA19999002,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0021,DEV_KYA19970010,"AUSTIN PARK APARTMENTS, LTD.",KYA19970010,1997,1997,38,38,KY|BYPASS PLZ DR|FRANKFORT,MSIC_00025,DEV_KYA19970010,KYA19970010,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0021,DEV_KYA19979576,"AUSTIN PARK APTS, LTD",KYA19979576,1997,1997,38,38,KY|315 BYPASS PLZ DR|FRANKFORT | KY|BYPASS PLZ DR|FRANKFORT,MSIC_00025,DEV_KYA19970010,KYA19970010,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0022,DEV_KYA19940555,BRIDLEWOOD TERRACE APARTMENTS,KYA19940555,1994,1994,24,24,KY|HARPER DR|HORSE CAVE,MSIC_00026,DEV_KYA19940555,KYA19940555,1,final_physical_development,retain_current_development,not_required,not_approved,FALSE
MSIR_0022,DEV_KYA19960060,HORSE CAVE FAMILY APARTMENTS,KYA19960060,1996,1996,24,24,KY|315 HARPER DR|HORSE CAVE | KY|HARPER DR|HORSE CAVE,MSIC_00027,DEV_KYA19960060,KYA19960060,1,final_physical_development,retain_current_development,not_required,not_approved,FALSE
MSIR_0023,DEV_KYA20114010,FULTON MANOR I APARTMENTS,KYA20114010,2011,2011,24,24,KY|MIDDLE RD|FULTON,MSIC_00028,DEV_KYA20114010,KYA20114010,1,final_physical_development,retain_current_development,not_required,not_approved,FALSE
MSIR_0023,DEV_KYA20110662,FULTON MANOR APTS PHASE I,KYA20110662,2011,2011,14,14,KY|1109 MIDDLE RD|FULTON | KY|MIDDLE RD|FULTON,MSIC_00029,DEV_KYA20110662,KYA20110662,1,final_physical_development,retain_current_development,not_required,not_approved,FALSE
MSIR_0023,DEV_KYA20110672,FULTON MANOR II APARTMENTS,KYA20110672,2011,2011,14,14,KY|MIDDLE RD|FULTON,MSIC_00030,DEV_KYA20110672,KYA20110672,1,final_physical_development,retain_current_development,not_required,not_approved,FALSE
MSIR_0024,DEV_KYA19960150,VAUGHN VILLAGE I APARTMENTS,KYA19960150,1996,1996,24,24,KY|CRIMSON CREEK CT|ELIZABETHTOWN,MSIC_00031,DEV_KYA19960150,KYA19960150,1,final_physical_development,retain_current_development,not_required,not_approved,FALSE
MSIR_0024,DEV_KYA19960155,VAUGHN VILLAGE II APARTMENTS,KYA19960155,1996,1996,24,24,KY|CRIMSON CREEK CT|ELIZABETHTOWN,MSIC_00032,DEV_KYA19960155,KYA19960155,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
