identity_question_id,development_id,development_name,first_pis_year,n_units_development,review_cluster_id,development_anchor_hud_id,adjudicated_development_id,adjudicated_development_anchor_hud_id,n_review_cluster_members,review_cluster_question_count,member_action,shared_geocoding_query_decision,source_rows_changed
XDA2_0024,DEV_ARA19999001,IMPERIAL HOMES SOUTH,1999,56,XDA2C_0031,ARA19999001,DEV_ARA19999001,ARA19999001,1,1,retain_current_development,not_approved,FALSE
XDA2_0024,DEV_ARA20160006,IMPERIAL HOMES NORTH,2016,64,XDA2C_0032,ARA20160006,DEV_ARA20160006,ARA20160006,1,1,retain_current_development,not_approved,FALSE
XDA2_0025,DEV_ARA20020348,MADISON HEIGHTS PHASE II,2002,101,XDA2C_0033,ARA20020348,DEV_ARA20020348,ARA20020348,1,1,retain_current_development,not_approved,FALSE
XDA2_0025,DEV_ARA20050065,MADISON HEIGHTS PHASE III,2005,60,XDA2C_0034,ARA20050065,DEV_ARA20050065,ARA20050065,1,1,retain_current_development,not_approved,FALSE
XDA2_0026,DEV_ARA19949006,MEADOWGLADE II (DUPLEXES),1994,14,XDA2C_0035,ARA19949006,DEV_ARA19949006,ARA19949006,1,1,retain_current_development,not_approved,FALSE
XDA2_0026,DEV_ARA19950901,MEADOWGLADE (DUPLEXES),1995,14,XDA2C_0036,ARA19950901,DEV_ARA19950901,ARA19950901,1,1,retain_current_development,not_approved,FALSE
XDA2_0027,DEV_ARA20110818,OAKS AT MENA,2011,30,XDA2C_0037,ARA20110818,DEV_ARA20110818,ARA20110818,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0027,DEV_ARA20118032,OAKS ASSISTED LIVING,2011,30,XDA2C_0037,ARA20118032,DEV_ARA20110818,ARA20110818,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0028,DEV_ARA20020801,PARK PLAZA APTS PHASES III & IV,2002,24,XDA2C_0038,ARA20020801,DEV_ARA20020801,ARA20020801,1,1,retain_current_development,not_approved,FALSE
XDA2_0028,DEV_ARA20029803,PARK PLAZA III,2002,24,XDA2C_0039,ARA20029803,DEV_ARA20029803,ARA20029803,1,1,retain_current_development,not_approved,FALSE
XDA2_0029,DEV_ARA20110578,PEAKS AT COUNTRY CLUB,2011,48,XDA2C_0040,ARA20110578,DEV_ARA20110578,ARA20110578,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0029,DEV_ARA20110823,PEAKS AT COUNTRY CLUB II,2011,48,XDA2C_0040,ARA20110823,DEV_ARA20110578,ARA20110578,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0030,DEV_ARA20201004,RIDGE AT LITTLE ROCK I,2020,48,XDA2C_0041,ARA20201004,DEV_ARA20201004,ARA20201004,1,1,retain_current_development,not_approved,FALSE
XDA2_0030,DEV_ARA20210007,RIDGE AT LITTLE ROCK II,2021,48,XDA2C_0042,ARA20210007,DEV_ARA20210007,ARA20210007,1,1,retain_current_development,not_approved,FALSE
XDA2_0031,DEV_ARA20120948,RIDGE AT NORTH LITTLE ROCK II,2012,48,XDA2C_0043,ARA20120948,DEV_ARA20120948,ARA20120948,1,1,retain_current_development,not_approved,FALSE
XDA2_0031,DEV_ARA20190005,RIDGE AT NORTH LITTLE ROCK III,2019,48,XDA2C_0044,ARA20190005,DEV_ARA20190005,ARA20190005,1,1,retain_current_development,not_approved,FALSE
XDA2_0032,DEV_ARA20060065,RIDGE AT WEST MEMPHIS II,2006,64,XDA2C_0045,ARA20060065,DEV_ARA20060065,ARA20060065,1,1,retain_current_development,not_approved,FALSE
XDA2_0032,DEV_ARA20190006,RIDGE AT WEST MEMPHIS III,2019,48,XDA2C_0046,ARA20190006,DEV_ARA20190006,ARA20190006,1,1,retain_current_development,not_approved,FALSE
XDA2_0033,DEV_ARA20130008,RIVERSIDE PARK APARTMENTS I FKA PARK PLAZA I,2013,64,XDA2C_0047,ARA20130008,DEV_ARA20130008,ARA20130008,1,1,retain_current_development,not_approved,FALSE
XDA2_0033,DEV_ARA20130009,RIVERSIDE PARK APARTMENTS II FKA PARK PLAZA I,2013,,XDA2C_0048,ARA20130009,DEV_ARA20130009,ARA20130009,1,1,retain_current_development,not_approved,FALSE
XDA2_0034,DEV_ARA20120946,STONEBROOK PARK HOMES OF WYNNE,2012,37,XDA2C_0049,ARA20120946,DEV_ARA20120946,ARA20120946,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0034,DEV_ARA20127030,STONEBROOK PARK OF WYNNE,2012,37,XDA2C_0049,ARA20127030,DEV_ARA20120946,ARA20120946,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0035,DEV_ARA20200007,STONERIDGE DUPLEXES OF SILOAM SPRINGS,2020,60,XDA2C_0050,ARA20200007,DEV_ARA20200007,ARA20200007,1,1,retain_current_development,not_approved,FALSE
XDA2_0035,DEV_ARA20210008,STONERIDGE DUPLEXES II OF SILOAM SPRINGS,2021,50,XDA2C_0051,ARA20210008,DEV_ARA20210008,ARA20210008,1,1,retain_current_development,not_approved,FALSE
XDA2_0036,DEV_ARA20171007,VINEYARDS OF MONTICELLO,2017,48,XDA2C_0052,ARA20171007,DEV_ARA20171007,ARA20171007,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0036,DEV_ARA20172015,VINEYARDS AT MONTICELLO,2017,48,XDA2C_0052,ARA20172015,DEV_ARA20171007,ARA20171007,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0037,DEV_ARA20160014,WALKER COURTS SOUTH  APARTMETNS,2016,64,XDA2C_0053,ARA20160014,DEV_ARA20160014,ARA20160014,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0037,DEV_ARA20161013,WALKER COURTS SOUTH APTS,2016,64,XDA2C_0053,ARA20161013,DEV_ARA20160014,ARA20160014,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0037,DEV_ARA20161012,WALKER COURTS NORTH APTS,2016,49,XDA2C_0054,ARA20161012,DEV_ARA20161012,ARA20161012,1,1,retain_current_development,not_approved,FALSE
XDA2_0038,DEV_CAA20160012,CIELO CARMEL I,2016,107,XDA2C_0055,CAA20160012,DEV_CAA20160012,CAA20160012,1,1,retain_current_development,not_approved,FALSE
XDA2_0038,DEV_CAA20160013,CIELO CARMEL II,2016,90,XDA2C_0056,CAA20160013,DEV_CAA20160013,CAA20160013,1,1,retain_current_development,not_approved,FALSE
XDA2_0039,DEV_CAA19960180,CRESCENT VILLAGE,1996,112,XDA2C_0057,CAA19960180,DEV_CAA19960180,CAA19960180,1,1,retain_current_development,not_approved,FALSE
XDA2_0039,DEV_CAA20183003,CRESCENT VILLAGES,2018,144,XDA2C_0058,CAA20183003,DEV_CAA20183003,CAA20183003,1,1,retain_current_development,not_approved,FALSE
XDA2_0040,DEV_CAA20230046,LOS ARROYOS II,2023,54,XDA2C_0059,CAA20230046,DEV_CAA20230046,CAA20230046,1,1,retain_current_development,not_approved,FALSE
XDA2_0040,DEV_CAA20231058,LOS ARROYOS I,2023,54,XDA2C_0060,CAA20231058,DEV_CAA20231058,CAA20231058,1,1,retain_current_development,not_approved,FALSE
XDA2_0041,DEV_CAA20191081,OAK PARK 3 APARTMENTS,2019,76,XDA2C_0061,CAA20191081,DEV_CAA20191081,CAA20191081,1,1,retain_current_development,not_approved,FALSE
XDA2_0041,DEV_CAA20200041,OAK PARK 4 APARTMENTS,2020,75,XDA2C_0062,CAA20200041,DEV_CAA20200041,CAA20200041,1,1,retain_current_development,not_approved,FALSE
XDA2_0042,DEV_CAA20231085,SANTA FE COMMONS I,2023,81,XDA2C_0063,CAA20231085,DEV_CAA20231085,CAA20231085,1,1,retain_current_development,not_approved,FALSE
XDA2_0042,DEV_CAA20240104,SANTA FE COMMONS II,2024,57,XDA2C_0064,CAA20240104,DEV_CAA20240104,CAA20240104,1,1,retain_current_development,not_approved,FALSE
XDA2_0043,DEV_CAA20210075,THE GARDENS AT QUAIL RUN,2021,96,XDA2C_0065,CAA20210075,DEV_CAA20210075,CAA20210075,1,1,retain_current_development,not_approved,FALSE
XDA2_0043,DEV_CAA20230081,THE GARDENS AT QUAIL RUN II,2023,108,XDA2C_0066,CAA20230081,DEV_CAA20230081,CAA20230081,1,1,retain_current_development,not_approved,FALSE
XDA2_0044,DEV_CAA20147512,VISTA DEL MAR,2014,,XDA2C_0067,CAA20147512,DEV_CAA20147512,CAA20147512,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0044,DEV_CAA20147513,VISTA DEL MAR COMMONS (SITE A),2014,142,XDA2C_0067,CAA20147513,DEV_CAA20147512,CAA20147512,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0045,DEV_CAA19900065,WOODHAVEN SENIOR RESIDENCES,1990,104,XDA2C_0068,CAA19900065,DEV_CAA19900065,CAA19900065,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0045,DEV_CAA20151039,WOODHAVEN SENIOR RESIDENCE,2015,104,XDA2C_0068,CAA20151039,DEV_CAA19900065,CAA19900065,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0046,DEV_COA19960030,CARE HOUSING AT SWALLOW RD,1996,40,XDA2C_0069,COA19960030,DEV_COA19960030,COA19960030,1,1,retain_current_development,not_approved,FALSE
XDA2_0046,DEV_COA20220011,CARE HOUSING AT SWALLOW ROAD,2022,84,XDA2C_0070,COA20220011,DEV_COA20220011,COA20220011,1,1,retain_current_development,not_approved,FALSE
XDA2_0047,DEV_COA20230005,CENTRAL PARK II,2023,90,XDA2C_0071,COA20230005,DEV_COA20230005,COA20230005,1,1,retain_current_development,not_approved,FALSE
XDA2_0047,DEV_COA20230006,CENTRAL PARK III,2023,127,XDA2C_0072,COA20230006,DEV_COA20230006,COA20230006,1,1,retain_current_development,not_approved,FALSE
XDA2_0048,DEV_CTA20211008,WESTBROOK VILLAGE PHASE III,2021,65,XDA2C_0073,CTA20211008,DEV_CTA20211008,CTA20211008,1,1,retain_current_development,not_approved,FALSE
XDA2_0048,DEV_CTA20220005,WESTBROOK VILLAGE PHASE IV,2022,60,XDA2C_0074,CTA20220005,DEV_CTA20220005,CTA20220005,1,1,retain_current_development,not_approved,FALSE
XDA2_0049,DEV_DEA20078002,BRIGHTWAY COMMONS I,2007,80,XDA2C_0075,DEA20078002,DEV_DEA20078002,DEA20078002,1,1,retain_current_development,not_approved,FALSE
XDA2_0049,DEV_DEA20090020,BRIGHTWAYS COMMONS II,2009,44,XDA2C_0076,DEA20090020,DEV_DEA20090020,DEA20090020,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0049,DEV_DEA20099001,BRIGHTWAY COMMONS II,2009,44,XDA2C_0076,DEA20099001,DEV_DEA20090020,DEA20090020,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0050,DEV_DEA19960002,CHRISTIANA FARMS,1996,76,XDA2C_0077,DEA19960002,DEV_DEA19960002,DEA19960002,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0050,DEV_DEA19969001,CHRISTIANA FARMS I,1996,76,XDA2C_0077,DEA19969001,DEV_DEA19960002,DEA19960002,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0050,DEV_DEA19990035,CHRISTIANA FARMS II,1999,18,XDA2C_0078,DEA19990035,DEV_DEA19990035,DEA19990035,1,1,retain_current_development,not_approved,FALSE
XDA2_0051,DEV_DEA19900010,GEORGETOWN I,1990,50,XDA2C_0079,DEA19900010,DEV_DEA19900010,DEA19900010,1,1,retain_current_development,not_approved,FALSE
XDA2_0051,DEV_DEA19909001,GEORGETOWN II APARTMENTS,1990,50,XDA2C_0080,DEA19909001,DEV_DEA19909001,DEA19909001,1,1,retain_current_development,not_approved,FALSE
XDA2_0052,DEV_DEA20010010,LUTHER GARDENS ANNEX,2001,18,XDA2C_0081,DEA20010010,DEV_DEA20010010,DEA20010010,1,1,retain_current_development,not_approved,FALSE
XDA2_0052,DEV_DEA20019003,LUTHER GARDENS,2001,18,XDA2C_0082,DEA20019003,DEV_DEA20019003,DEA20019003,1,1,retain_current_development,not_approved,FALSE
XDA2_0053,DEV_DEA20100020,MILLSBORO VILLAGE,2010,50,XDA2C_0083,DEA20100020,DEV_DEA20100020,DEA20100020,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0053,DEV_DEA20105003,MILLSBORO VILLAGE I,2010,50,XDA2C_0083,DEA20105003,DEV_DEA20100020,DEA20100020,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0054,DEV_DEA20132005,NORTH LAKE VILLAGE I,2013,42,XDA2C_0084,DEA20132005,DEV_DEA20132005,DEA20132005,1,1,retain_current_development,not_approved,FALSE
XDA2_0054,DEV_DEA20132006,NORTH LAKE VILLAGE II,2013,10,XDA2C_0085,DEA20132006,DEV_DEA20132006,DEA20132006,1,1,retain_current_development,not_approved,FALSE
XDA2_0055,DEV_DEA19980025,SHADY GROVE II,1998,25,XDA2C_0086,DEA19980025,DEV_DEA19980025,DEA19980025,1,1,retain_current_development,not_approved,FALSE
XDA2_0055,DEV_DEA20010030,SHADY GROVE III,2001,20,XDA2C_0087,DEA20010030,DEV_DEA20010030,DEA20010030,1,1,retain_current_development,not_approved,FALSE
XDA2_0056,DEV_DEA20202010,"THE FLATS PHASE III, L.P.",2020,77,XDA2C_0088,DEA20202010,DEV_DEA20202010,DEA20202010,1,1,retain_current_development,not_approved,FALSE
XDA2_0056,DEV_DEA20231001,"THE FLATS PHASE IV, L.P.",2023,52,XDA2C_0089,DEA20231001,DEV_DEA20231001,DEA20231001,1,1,retain_current_development,not_approved,FALSE
XDA2_0057,DEV_FLA19990803,ARIA LANDINGS I,1999,208,XDA2C_0090,FLA19990803,DEV_FLA19990803,FLA19990803,1,1,retain_current_development,not_approved,FALSE
XDA2_0057,DEV_FLA20000015,ARIA LANDINGS II,2000,112,XDA2C_0091,FLA20000015,DEV_FLA20000015,FLA20000015,1,1,retain_current_development,not_approved,FALSE
XDA2_0058,DEV_FLA20010025,COUNTRY CLUB VILLAS I,2001,216,XDA2C_0092,FLA20010025,DEV_FLA20010025,FLA20010025,1,1,retain_current_development,not_approved,FALSE
XDA2_0058,DEV_FLA20020065,COUNTRY CLUB VILLAS II,2002,214,XDA2C_0093,FLA20020065,DEV_FLA20020065,FLA20020065,1,1,retain_current_development,not_approved,FALSE
XDA2_0059,DEV_FLA20080080,FOUNTAINS AT MILLENIA I,2008,162,XDA2C_0094,FLA20080080,DEV_FLA20080080,FLA20080080,1,1,retain_current_development,not_approved,FALSE
XDA2_0059,DEV_FLA20080085,FOUNTAINS AT MILLENIA II,2008,32,XDA2C_0095,FLA20080085,DEV_FLA20080085,FLA20080085,1,1,retain_current_development,not_approved,FALSE
XDA2_0059,DEV_FLA20080090,FOUNTAINS AT MILLENIA III,2008,82,XDA2C_0096,FLA20080090,DEV_FLA20080090,FLA20080090,1,1,retain_current_development,not_approved,FALSE
XDA2_0059,DEV_FLA20080095,FOUNTAINS AT MILLENIA IV,2008,100,XDA2C_0097,FLA20080095,DEV_FLA20080095,FLA20080095,1,1,retain_current_development,not_approved,FALSE
XDA2_0060,DEV_FLA19990095,GREEN GABLES I,1999,131,XDA2C_0098,FLA19990095,DEV_FLA19990095,FLA19990095,1,1,retain_current_development,not_approved,FALSE
XDA2_0060,DEV_FLA20060070,GREEN GABLES II,2006,124,XDA2C_0099,FLA20060070,DEV_FLA20060070,FLA20060070,1,1,retain_current_development,not_approved,FALSE
XDA2_0061,DEV_FLA20110085,HOMES OF RENAISSANCE PRESERVE I,2011,96,XDA2C_0100,FLA20110085,DEV_FLA20110085,FLA20110085,1,1,retain_current_development,not_approved,FALSE
XDA2_0061,DEV_FLA20160011,HOMES OF RENAISSANCE PRESERVE III,2016,72,XDA2C_0101,FLA20160011,DEV_FLA20160011,FLA20160011,1,1,retain_current_development,not_approved,FALSE
XDA2_0062,DEV_FLA20080135,LAUREL OAKS II,2008,108,XDA2C_0102,FLA20080135,DEV_FLA20080135,FLA20080135,1,1,retain_current_development,not_approved,FALSE
XDA2_0062,DEV_FLA20090210,LAUREL OAKS I,2009,144,XDA2C_0103,FLA20090210,DEV_FLA20090210,FLA20090210,1,1,retain_current_development,not_approved,FALSE
XDA2_0063,DEV_FLA20050085,LAUREL PARK I,2005,170,XDA2C_0104,FLA20050085,DEV_FLA20050085,FLA20050085,1,1,retain_current_development,not_approved,FALSE
XDA2_0063,DEV_FLA20070100,LAUREL PARK II,2007,68,XDA2C_0105,FLA20070100,DEV_FLA20070100,FLA20070100,1,1,retain_current_development,not_approved,FALSE
XDA2_0064,DEV_FLA20150015,NORTHSIDE TRANSIT VILLAGE I,2015,100,XDA2C_0106,FLA20150015,DEV_FLA20150015,FLA20150015,1,1,retain_current_development,not_approved,FALSE
XDA2_0064,DEV_FLA20220014,NORTHSIDE TRANSIT VILLAGE II,2022,180,XDA2C_0107,FLA20220014,DEV_FLA20220014,FLA20220014,1,1,retain_current_development,not_approved,FALSE
XDA2_0065,DEV_FLA20000130,PARK CREST TERRACE I,2000,100,XDA2C_0108,FLA20000130,DEV_FLA20000130,FLA20000130,1,1,retain_current_development,not_approved,FALSE
XDA2_0065,DEV_FLA20010145,PARK CREST TERRACE II,2001,44,XDA2C_0109,FLA20010145,DEV_FLA20010145,FLA20010145,1,1,retain_current_development,not_approved,FALSE
XDA2_0066,DEV_FLA19930140,REEF CLUB II,1993,280,XDA2C_0110,FLA19930140,DEV_FLA19930140,FLA19930140,1,1,retain_current_development,not_approved,FALSE
XDA2_0066,DEV_FLA20148802,REEF CLUB I,2014,280,XDA2C_0111,FLA20148802,DEV_FLA20148802,FLA20148802,1,1,retain_current_development,not_approved,FALSE
XDA2_0067,DEV_FLA20030682,SAN MARCO VILLAS I,2003,288,XDA2C_0112,FLA20030682,DEV_FLA20030682,FLA20030682,1,1,retain_current_development,not_approved,FALSE
XDA2_0067,DEV_FLA20040739,SAN MARCO VILLAS II,2004,112,XDA2C_0113,FLA20040739,DEV_FLA20040739,FLA20040739,1,1,retain_current_development,not_approved,FALSE
XDA2_0068,DEV_FLA19990135,TAYLOR POINTE I,1999,96,XDA2C_0114,FLA19990135,DEV_FLA19990135,FLA19990135,1,1,retain_current_development,not_approved,FALSE
XDA2_0068,DEV_FLA20030145,TAYLOR POINTE II,2003,72,XDA2C_0115,FLA20030145,DEV_FLA20030145,FLA20030145,1,1,retain_current_development,not_approved,FALSE
