"source_page","source_url","retrieved_at_utc","source_file","bytes","source_sha256"
12,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=12","2026-08-12T21:30:36Z","awarded_projects_page_12.html",100571,"aacbfdd09d2e4d0262aabf5d8c9e6521f469cdb4b55b2b07930ca61aec410935"
13,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=13","2026-08-12T21:30:36Z","awarded_projects_page_13.html",100450,"0236f5b1030390ca74af5dcecea176a621c53388446566a9e758dd4ea25fb3d6"
14,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=14","2026-08-12T21:30:37Z","awarded_projects_page_14.html",100499,"b656e76ffa5978de39a63bdba65eac8f8a96b90f9d6444c63713c885041dd21c"
15,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=15","2026-08-12T21:30:37Z","awarded_projects_page_15.html",100575,"8a7bab8af91cf4849a01c982b8735bded73a7d2a2771653470ec4a34d1de8cc2"
16,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=16","2026-08-12T21:30:38Z","awarded_projects_page_16.html",100583,"a2825e764105baf1433675f1ebb7bed504487f71c1b899db9df39b4923ae847a"
17,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=17","2026-08-12T21:30:38Z","awarded_projects_page_17.html",100458,"5fcdde2ce7436660bf2186a931737c28d89f342c95190ea3c0407d32798cca45"
18,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=18","2026-08-12T21:30:39Z","awarded_projects_page_18.html",100561,"ef58de60772d2cb529dc2dac60e04d22a06780f3addee2a806605d102bfa0634"
19,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=19","2026-08-12T21:30:39Z","awarded_projects_page_19.html",100631,"3e798d7c94ebd8f1d6fab6543c1c56cea90647e7d24d8813d550690092ad8a96"
20,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=20","2026-08-12T21:30:40Z","awarded_projects_page_20.html",100551,"8ee4a812dbe4ba79f712bb85229193562416c17318c5e3c53fc626c546d25585"
21,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=21","2026-08-12T21:30:40Z","awarded_projects_page_21.html",100698,"5a3e0e3a3da2eb0904c29c8f7248b3000866e4be4c6a67aab21e91eee22da6db"
22,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=22","2026-08-12T21:30:41Z","awarded_projects_page_22.html",100477,"dcf8c7dd1a2bf977135400ba60212d060ed6e4a9f21d124156cb9033b647270f"
23,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=23","2026-08-12T21:30:41Z","awarded_projects_page_23.html",100578,"f5741bd2427a2fa7091b995ce14e3210b68357bfae899e4e9ed31baa2e16356d"
24,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=24","2026-08-12T21:30:42Z","awarded_projects_page_24.html",100558,"cc94aea340d691a7783d7f1a8b1973cdc7de0ce3b479aeede1993e915a4a80cd"
25,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=25","2026-08-12T21:30:43Z","awarded_projects_page_25.html",100495,"59179a5408238f903e8b4f11ed6f17698cfe0fa138abdf8a5167337da4a0d9d7"
26,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=26","2026-08-12T21:30:43Z","awarded_projects_page_26.html",100594,"fd8a00b60253c8163efc3800bb9c8167d59e8ad1effa9b7f7d8105e824b521bf"
27,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=27","2026-08-12T21:30:44Z","awarded_projects_page_27.html",100576,"20ecc59278a5a6ca718b46d78b029a1820d1fd56f9718adfeda45439f8f612e4"
28,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=28","2026-08-12T21:30:44Z","awarded_projects_page_28.html",100577,"a533a64caa9723fa63fc6402bc652d5f006370f8771141fe29feff148a20cb08"
29,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=29","2026-08-12T21:30:45Z","awarded_projects_page_29.html",100576,"ad317378e31c4384ee4d3ae89075a80e19565665e4462e74967e4ea677a1bad4"
30,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=30","2026-08-12T21:30:45Z","awarded_projects_page_30.html",100526,"1dfd922e1bbb0eaaaae54115a46ccf9a163e8220c455e779a967019d6f706977"
31,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=31","2026-08-12T21:30:46Z","awarded_projects_page_31.html",100525,"de2191093d125f638612eede22f0e1c8e0cce8319f39382c1c4715309585b58f"
32,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=32","2026-08-12T21:30:46Z","awarded_projects_page_32.html",100644,"d679d726b83ccac0a87dbdf6f34cdede9493fbd73d35871e6044a8cc80da3bfb"
33,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=33","2026-08-12T21:30:47Z","awarded_projects_page_33.html",100599,"780285801f6d820acbf1fe79fee953d34fd6f7a95517424da79ba495f574ccd3"
34,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=34","2026-08-12T21:30:47Z","awarded_projects_page_34.html",100438,"f599137d01f72955776346bc5e653f226aa35e57a4bcdd5f16fa624e9cf4c714"
35,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=35","2026-08-12T21:30:48Z","awarded_projects_page_35.html",100554,"b0540bb5f9f87bcb9f75537568647160b69487ba4b7dfe06df092c4e4d10dfed"
36,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=36","2026-08-12T21:30:48Z","awarded_projects_page_36.html",100502,"b7db02885abc67486a19250562ea4236cfd3f9618e2ccfc014ed08f1806e23e8"
37,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=37","2026-08-12T21:30:49Z","awarded_projects_page_37.html",100539,"9fde5f4a22db04e557df75451c04e642df035ca146cd917b8c9f4365cf262432"
38,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=38","2026-08-12T21:30:49Z","awarded_projects_page_38.html",100627,"7a67c1bea942c2c36d07bd194591447e335df9e3294be5f481994d9310b3e676"
39,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=39","2026-08-12T21:30:50Z","awarded_projects_page_39.html",100492,"58fffd1c0a55aff327ae35364da2865559e1ac46efa76d97a824d28db33828bb"
40,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=40","2026-08-12T21:30:50Z","awarded_projects_page_40.html",100407,"8baaf0ad8abb025fc8724bf13b5a3e2e5bd2bd7155462d3efef8d82c15206f71"
41,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=41","2026-08-12T21:30:51Z","awarded_projects_page_41.html",100557,"ba8892f1715d31ed1ac8ff8a61390a413e0ef821501a2253540a024dcefee2ed"
42,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=42","2026-08-12T21:30:51Z","awarded_projects_page_42.html",100468,"0f46c11d5b9d00be35582d798b83caf3e5a21c25eed0cec9b9bc36ac5ea99841"
43,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=43","2026-08-12T21:30:52Z","awarded_projects_page_43.html",100546,"05617bffdfc0c442d14bfdda5ecad42e328374676ca1413d7e251a1676ca235e"
44,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=44","2026-08-12T21:30:52Z","awarded_projects_page_44.html",100677,"43d20cdf9799953f1a92adacd6beb8bc4f8f85f402518e40b5436652f6973a21"
45,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=45","2026-08-12T21:30:53Z","awarded_projects_page_45.html",100556,"7a105c1da5af6fec74103e26ac6249ab23a14a6da4abb0255b90999c76abf06a"
46,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=46","2026-08-12T21:30:54Z","awarded_projects_page_46.html",100561,"1bde72d77cadf7d90b3d420cde64ee68f9c37bd3cca3d0a554883e133f4d2036"
47,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=47","2026-08-12T21:30:54Z","awarded_projects_page_47.html",100519,"b7cd2b1d633be2d179a8bddf3604419cda813952c4be93afd4b1c1d400fc091c"
48,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=48","2026-08-12T21:30:55Z","awarded_projects_page_48.html",100453,"8d41cddfb2a5775bff76fc39a6c9f9fcce4d3673b40cd929afd87027fe317d22"
49,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=49","2026-08-12T21:30:55Z","awarded_projects_page_49.html",100614,"26eea74dab12f1ee8d7f53bc38841bd70ed1ab38645b3a14bfdcbad9dcb8b893"
50,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=50","2026-08-12T21:30:56Z","awarded_projects_page_50.html",100513,"a75aac5d7409da361cc53eca0cee468b6494d7673a614cb69a9676b94bb0e260"
51,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=51","2026-08-12T21:30:56Z","awarded_projects_page_51.html",100372,"6e8f3c8c265c1aa2ccb96abe5226e4501054055c77148a15eeded00b621a1235"
52,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=52","2026-08-12T21:30:57Z","awarded_projects_page_52.html",100523,"4482f816d99fd0bde1c50d5860f35fe8869f7d9ea8748204f6a3d8a2e84dc3c8"
53,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=53","2026-08-12T21:30:57Z","awarded_projects_page_53.html",100511,"7dd1ce3eac3e78c5b8ba2202c3c6fa3dd1eeddd226cb6ea9434a6f6853d2f711"
54,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=54","2026-08-12T21:30:58Z","awarded_projects_page_54.html",100638,"af7abf55f87c1c68ad5c98e409dcef4539899e68df5cdfa74b29781fce6cbf41"
55,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=55","2026-08-12T21:30:58Z","awarded_projects_page_55.html",100427,"de56866be96cb71edc64dc9f133bbe34b0c9aa9924de166c3033d6c1744e83ad"
56,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=56","2026-08-12T21:30:59Z","awarded_projects_page_56.html",100585,"9f7c8131d4cdd3688b9629711f0d70ddb176a4b7c3c869ea090da2f3aff4ad21"
57,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=57","2026-08-12T21:30:59Z","awarded_projects_page_57.html",100550,"7bbc8603f398ad183f60b614be83ba026040c566ccc28ef1b9c64a82c8249a24"
58,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=58","2026-08-12T21:31:00Z","awarded_projects_page_58.html",100581,"4d23d6b8c2d1874eb23d5f211449eddf28d5aca712ac8c20fccb4e3fcf7c7c30"
59,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=59","2026-08-12T21:31:00Z","awarded_projects_page_59.html",100463,"6cb1cf96e18f97431d0ccc0431fd71d192c9d2e0294865e47d2426cec6b4635d"
60,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=60","2026-08-12T21:31:01Z","awarded_projects_page_60.html",100513,"7edbc0df60510ce6eda18fef622f1f30115bbf0cffce5044a0063005e4588f98"
61,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=61","2026-08-12T21:31:01Z","awarded_projects_page_61.html",100455,"7d59b5fa5955dbd2ce2cedd7b923ebcba0fab635a125f28888e187793bee1152"
62,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=62","2026-08-12T21:31:02Z","awarded_projects_page_62.html",100694,"8436899ec5f2f0f6e3af05493eecae11faef6fa407df992fe9dc16a67e8e4a68"
63,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=63","2026-08-12T21:31:03Z","awarded_projects_page_63.html",100530,"ea2d2a08f33a14280cc230a31766a4297847968b3f2e2b2067b893350d6aa979"
64,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=64","2026-08-12T21:31:03Z","awarded_projects_page_64.html",100546,"f459bb7189a425cbbdf06f8dca588457fa464f94a496dea62adb98f831d6f86d"
65,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=65","2026-08-12T21:31:04Z","awarded_projects_page_65.html",100459,"f9dba5781d7fae2b272c57a1ef727e058d8e3f25847de5c8567f63169e925345"
66,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=66","2026-08-12T21:31:04Z","awarded_projects_page_66.html",100452,"367d7f5212bba1d7684d9950d002e4d7bd49a05fa9b9be44a1c8404baa354550"
67,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=67","2026-08-12T21:31:05Z","awarded_projects_page_67.html",100668,"d50abdd3b6b0401ac1ffbab7fae800480874f2206df05dc32ed6c39371c3c54e"
68,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=68","2026-08-12T21:31:15Z","awarded_projects_page_68.html",100604,"e5e11399f3f706e2e85ba71c1722a01bb94e8ce8219c5aeb91922c4b2c3bc737"
69,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=69","2026-08-12T21:31:15Z","awarded_projects_page_69.html",100647,"64486d6d687b483c99a02a7fd02ec7c46c172a42320c646ade0c59eae438d555"
70,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=70","2026-08-12T21:31:15Z","awarded_projects_page_70.html",100679,"e885c85d7ccaf8590e6bf1a53a27bbf778778469f566a5cef82148664a540dc1"
71,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=71","2026-08-12T21:31:15Z","awarded_projects_page_71.html",100704,"acf481fa9236745c04f0bb729d87b01feb29f820be6bf4cdde3f84e54a1698af"
72,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=72","2026-08-12T21:31:16Z","awarded_projects_page_72.html",100644,"01df30ea261c21c4b11ea345b25cb696bb7347f7e7fa2de1113aed7d4fe1bd32"
73,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=73","2026-08-12T21:31:16Z","awarded_projects_page_73.html",100455,"92f5aa1322d923e59015554a47600182cf528a1bebf8e174f5afbdde812ad930"
74,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=74","2026-08-12T21:31:16Z","awarded_projects_page_74.html",100485,"5aa6e919aea9daf03ce21b8ab425aee55ab94679e7517f9f289b1b08745fdf35"
75,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=75","2026-08-12T21:31:16Z","awarded_projects_page_75.html",100489,"948544cdb941e23276ff022a007b108ec2a290b9e24390ec32cc099dc4452a1a"
76,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=76","2026-08-12T21:31:16Z","awarded_projects_page_76.html",100457,"adda0ea32fc2c88ae941e793d01f80c7ba04c1182c725208859b047f16829c29"
77,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=77","2026-08-12T21:31:16Z","awarded_projects_page_77.html",100535,"3cfa274279a1e41c974401f1ae97dc4185c714baca2467b27ebbf5dba17908d3"
78,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=78","2026-08-12T21:31:16Z","awarded_projects_page_78.html",100379,"fca14c11e235dc1f6360f84e09ac5fbf636ebe3c366775586943cae2cf6e6a43"
79,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=79","2026-08-12T21:31:16Z","awarded_projects_page_79.html",100420,"dd18b6f9f35c541ad4c97725ca888fe82c036726df9b832d4137fd06dec310aa"
80,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=80","2026-08-12T21:31:17Z","awarded_projects_page_80.html",100499,"19d372cb3a30524e5b1dadc51fe35a1f6a4798bd9e85e94ebcf3401cc84bc671"
81,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=81","2026-08-12T21:31:17Z","awarded_projects_page_81.html",100455,"998e3390c2a40ff14a1203e6ea663980b221f12704ed53eb593dc05bdb44b4f5"
82,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=82","2026-08-12T21:31:17Z","awarded_projects_page_82.html",84564,"71fc779306fed1ba638b3ff19465b3991332bd48213ec3cbca623d0fc11c69fb"
